Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
8640222903,GJU1793,NY,PAS,07/09/2018,37,SUBN,HONDA,T,37290,9090,64290,20190824,114,114,114,356327,T401,D,0956A,0945A,Q,F,38-08,Broadway,,0,408,D1,,Y,0800A,0700P,WH,,2017,407-2200,0,26,,,,
8726717931,3631252,ME,PAS,06/12/2019,66,TRLR,NS/OT,T,15720,26550,26580,88880088,42,42,42,365866,T201,R,0346P,,BX,F,951,Brook Ave,,0,408,E9,,YYYYYYY,,,GREY,,0,,0,42,,,,
8706880113,ASU3308,NY,PAS,03/11/2019,21,4DSD,VOLVO,T,55030,80230,45030,20190524,88,88,88,345440,T301,Y,1158A,,K,F,50,Lefferts Pl,,0,408,D1,,Y,1130A,0100P,GY,,2004,,0,SPCL,,,,
1435820216,29269BB,NY,OMR,05/31/2019,21,BUS,BL/BI,S,37680,44430,41030,20190228,69,69,0,599420,KN18,0000,0940A,,K,F,741,E 87 ST,,0,408,K6,,BBBBYBB,0830A,1000A,YELLO,0,2015,-,0,,,,,
8666308941,KMB0287,PA,PAS,07/16/2018,21,SUBN,GMC,T,21820,27120,27150,88880088,48,48,48,366457,T201,G,1016A,,BX,F,2263,Creston Ave,,0,408,D1,,Y  Y,0930A,1030A,BLUE,,0,,0,53,,,,
8737917134,ENX2704,NY,PAS,05/21/2019,38,4DSD,NISSA,T,15510,29890,97760,20210107,7,7,7,367398,T101,F,1239P,,NY,F,103,Clinton St,,0,408,I4,,YYYYYY,1000A,0700P,BL,,1996,,0,51,,,,
8715584768,HSA1090,NY,PAS,02/18/2019,16,SUBN,SUBAR,T,85930,0,0,20190821,83,83,83,362209,T301,B,1015A,,K,I,S,Troutman St,50ft W/of Knickerboc,0,408,I4,,YYYYY,1000A,0300P,RD,,2004,,0,SPCL,,,,
8696607582,HVW9802,NY,PAS,11/12/2018,70,2DSD,MITSU,T,8390,6590,42490,20180825,114,114,114,364931,T401,D,0953A,,Q,F,21-50,33rd St,,0,408,D,,YYYYYYY,,,BLACK,,2009,,0,35,,,,
8728581118,JHU7165,NY,PAS,05/24/2019,21,4DSD,NISSA,T,44330,39930,70630,20190706,75,75,75,366488,T301,W,1157A,,K,O,1027,Glenmore Ave,,0,408,D1,,Y  Y,1130A,0100P,BLACK,,2016,,0,SPCL,,,,
8622290062,HNH7677,NY,PAS,07/31/2018,50,4DSD,VOLKS,T,0,0,0,20190312,34,34,34,353406,T103,AA,0659A,,NY,I,W,Broadway,0ft S/of Arden St,0,408,D,,YYYYYYY,,,WH,,2014,,0,O,,,,
8734806775,95707MC,NY,COM,03/29/2019,14,VAN,FRUEH,T,44890,0,0,20191231,1,1,1,361901,T105,J,0126P,,NY,I,W,W Broadway,24ft S/of Franklin S,0,408,F1,,YYYYYYY,,,WH,,2013,,0,045,,,,
8708366998,18794MD,NY,COM,02/04/2019,69,VAN,FORD,T,17530,25390,27800,20190228,13,13,13,368490,T102,F,0810A,,NY,F,50,E 27th St,,0,408,H1,,YYYYY,0800A,0700P,WH,,2013,,0,11,,,,
8714948618,H87KXF,NJ,PAS,06/13/2019,40,4DSD,NISSA,T,69330,0,0,88880088,78,78,78,341120,T802,A,1103P,,K,I,W,Park Pl,30ft N/of Carlton Av,0,408,E2,,YYYYYYY,,,GREY,,0,,5,G,,,,
4656293799,JAL2769,NY,PAS,05/09/2019,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0835A,,QN,,,SB MAIN ST @ 63RD AV,E,0,1180,B,T,,,,WH,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8723559366,63871JC,NY,COM,01/31/2019,11,VAN,FORD,T,34390,0,0,20190331,14,14,14,367416,T102,N,0212P,,NY,I,S,W 31st St,54ft E/of 7th Ave,0,408,C,,YYYYYYY,,,WH,,2008,,0,99,,,,
8687496140,HRR8345,NY,PAS,03/19/2019,37,SUBN,GMC,T,9090,7790,7990,20190502,114,114,114,362541,T401,R,0510P,0436P,Q,O,30-10,38th St,,0,408,I3,,YYYYYY,0900A,0700P,GR,,2013,,0,25,,,,
